category,region,amount,quantity
Books,East,440.5708949,43
Food,North,499.3462829,63
Electronics,South,636.9907032,37
Books,South,832.5773396,4
Clothing,West,200.467105,56
Electronics,North,615.896199,43
Clothing,West,780.7221951,20
Clothing,South,184.3246746,76
Books,North,473.9312428,57
Electronics,West,756.844395,55
Electronics,North,510.8903923,1
Food,North,563.7398694,54
Food,East,992.9191329,33
Books,North,817.3054278,43
Food,East,983.6414937,20
Food,West,580.9137897,32
Food,North,657.1069918,23
Electronics,West,111.3383927,70
Electronics,East,987.1593035,77
Books,North,941.5904239,8
Electronics,North,448.0446812,10
Clothing,North,350.7064078,92
Electronics,West,528.3995066,83
Food,East,181.0702184,29
Food,East,606.8840547,6
Books,North,137.9118076,51
Electronics,West,797.1169116,11
Clothing,South,934.8749712,58
Electronics,North,86.14657075,40
Electronics,North,803.0200248,26
Clothing,East,127.9241025,42
Electronics,East,643.7750467,77
Clothing,South,887.7969023,99
Food,West,698.5971808,67
Books,North,167.0660876,5
Books,East,23.40700755,73
Food,East,541.3004193,6
Food,West,583.3279512,44
Electronics,East,179.4804593,75
Electronics,West,697.0264325,96
Electronics,West,783.139107,33
Electronics,East,371.8772732,71
Clothing,North,627.4745473,71
Books,South,615.9286367,98
Books,South,838.2071189,57
Clothing,South,324.2431641,17
Food,North,169.5656198,85
Clothing,South,310.030225,59
Clothing,East,144.0945412,22
Food,West,785.9174902,18
Books,South,420.8002051,30
Food,West,106.5127218,34
Books,West,325.5602106,8
Clothing,South,212.4020815,82
Electronics,East,536.3809175,51
Electronics,East,67.55790393,30
Electronics,South,997.381175,48
Electronics,West,689.1014564,29
Clothing,West,860.7830283,2
Books,South,560.56783,87
Electronics,North,140.7237419,41
Clothing,South,418.7803055,33
Clothing,West,689.220645,42
Books,South,570.0558633,81
Food,West,645.5819379,29
Clothing,West,496.0220491,88
Electronics,West,647.401562,63
Food,North,744.0655352,2
Clothing,East,662.8809668,11
Clothing,South,386.5296609,64
Electronics,West,890.8874344,28
Food,South,160.7257833,17
Clothing,East,182.064709,74
Food,North,904.7927099,91
Clothing,South,992.5295864,76
Books,South,518.8613869,66
Electronics,East,959.6629933,38
Electronics,West,585.7042764,24
Food,East,565.0258169,46
Books,West,52.25949855,27
Electronics,North,878.0795337,31
Books,East,276.3906288,74
Food,East,548.447679,8
Clothing,West,277.6724662,54
Books,North,337.0500831,81
Clothing,East,471.5119751,39
Electronics,East,571.5680892,61
Books,South,211.8669473,29
Electronics,East,668.8236442,55
Food,West,612.4923339,21
Clothing,East,314.7466089,19
Clothing,East,883.445094,81
Electronics,North,207.5669894,73
Food,North,14.29357854,34
Clothing,East,869.4027633,40
Clothing,South,53.62612989,59
Clothing,North,929.7252234,67
Clothing,South,918.6998454,37
Books,West,962.2161859,54
Books,North,21.76788722,1
Electronics,South,89.17485688,1
Clothing,North,261.4123804,38
Food,North,616.7899104,25
Electronics,West,552.3274179,66
Clothing,West,153.4550531,31
Food,North,943.9828707,90
Food,East,767.9467377,94
Clothing,East,419.8654814,72
Electronics,East,229.0507556,43
Clothing,North,421.2733177,61
Electronics,West,359.5520082,43
Food,South,591.3103084,79
Clothing,East,264.1581572,50
Books,East,504.540979,36
Books,North,695.5053111,5
Food,South,954.7116469,26
Food,West,762.8992233,81
Food,South,221.242798,54
Electronics,North,901.6129704,1
Books,East,357.8452371,39
Clothing,West,707.3815615,44
Food,West,628.3494569,98
Books,East,831.8986191,33
Books,West,578.8220353,46
Clothing,North,80.49674714,95
Clothing,West,311.1607003,28
Food,East,998.7271757,58
Electronics,West,10.33077939,93
Electronics,West,437.6005547,68
Clothing,East,21.85735439,4
Books,South,188.840384,14
Clothing,North,468.9800863,81
Books,South,549.8435499,56
Food,East,987.3970979,56
Food,West,692.0132184,63
Clothing,North,470.1092484,51
Books,West,5.933581021,80
Clothing,South,486.9209604,12
Clothing,North,324.1345091,38
Clothing,North,166.339441,39
Books,West,278.439259,94
Electronics,West,327.7171438,86
Clothing,East,552.3844845,56
Books,West,108.5597518,78
Clothing,South,139.4303024,44
Books,South,745.3084679,69
Food,East,687.6629937,11
Food,North,477.1348157,35
Books,South,403.5167995,33
Books,West,759.5313991,45
Books,North,379.2731109,44
Electronics,East,254.0128412,35
Electronics,South,269.2880044,4
Clothing,West,961.8216097,17
Books,West,982.9168231,75
Books,West,933.6966207,82
Electronics,East,825.9888732,33
Food,South,884.6941262,8
Food,South,79.58696884,57
Clothing,East,550.455737,44
Clothing,East,519.165545,23
Electronics,West,429.9965526,57
Electronics,East,938.3478474,70
Food,North,855.8483344,7
Books,South,508.2257574,75
Electronics,East,598.4811271,88
Food,South,547.8959183,60
Food,North,552.5373959,3
Electronics,South,241.2437587,76
Food,South,202.4833598,19
Clothing,West,871.3945467,1
Electronics,East,330.137484,7
Clothing,East,912.3468841,58
Books,South,1.228006583,31
Electronics,East,865.0305573,92
Books,East,348.1802582,19
Electronics,West,150.0369948,89
Electronics,North,856.7041032,29
Clothing,South,32.43837834,32
Food,South,758.5707239,7
Books,East,857.6367424,17
Clothing,South,786.7092395,94
Electronics,East,760.4596404,85
Electronics,East,231.4223878,98
Food,South,861.2321818,15
Food,East,541.1171774,79
Food,West,998.2008405,56
Clothing,East,659.9578166,92
Clothing,North,612.539269,82
Books,North,367.365946,81
Food,North,213.9169374,68
Food,South,836.545804,48
Books,North,677.0014562,17
Clothing,North,958.2966461,68
Clothing,East,25.94787195,9
Food,North,550.9607235,18
Clothing,North,277.7831228,13
Electronics,East,70.19818424,83
Books,North,847.1052142,86
Clothing,West,988.7804478,14
Clothing,West,542.2924634,67
Food,East,620.695318,86
Electronics,South,559.6052381,44
Clothing,North,811.0283563,17
Electronics,North,31.26146656,56
Books,North,44.66650945,48
Electronics,East,518.4921519,70
Books,East,144.3469978,29
Food,North,99.38182294,75
Clothing,West,959.7771154,2
Clothing,North,831.4331723,19
Books,South,879.9305449,47
Food,North,754.3121339,71
Books,West,800.0264672,56
Electronics,East,511.1397147,29
Books,North,463.0996745,16
Books,North,289.915534,35
Books,East,895.2317703,74
Electronics,West,576.9106833,25
Clothing,South,288.0411999,3
Clothing,South,450.7681114,67
Food,West,47.80535013,94
Clothing,West,783.2100949,51
Electronics,West,894.7768266,42
Books,East,761.5701527,60
Food,South,732.2197196,44
Books,North,176.9227439,56
Books,North,311.0599988,43
Electronics,North,912.3587479,57
Electronics,North,133.1137517,85
Clothing,North,769.8200452,27
Food,North,320.9886626,97
Electronics,West,564.5108759,76
Electronics,East,368.7590332,52
Electronics,East,231.7820959,17
Food,North,459.6549072,76
Food,South,905.4593372,97
Food,North,563.9954966,35
Food,East,501.531378,49
Electronics,West,760.1924464,1
Books,South,277.3704022,4
Food,North,992.4471312,14
Electronics,East,830.7040175,31
Food,West,543.9425437,32
Books,West,545.0399442,76
Books,South,408.0802693,88
Books,West,471.3981095,95
Electronics,West,13.63909898,41
Food,South,834.6986575,55
Clothing,East,663.5899566,83
Books,East,429.8423295,54
Clothing,East,222.1841275,8
Electronics,South,116.2964554,97
Books,West,72.49851326,82
Clothing,East,995.853801,68
Electronics,North,555.6785942,76
Food,North,383.6192441,53
Electronics,North,719.7782395,85
Books,West,923.6350264,79
Electronics,West,833.9611818,72
Books,West,275.3929539,1
Food,South,707.6399259,68
Food,South,53.79817294,27
Clothing,South,817.911853,10
Clothing,East,501.2632935,87
Clothing,West,623.9919427,36
Clothing,West,826.8975265,56
Food,South,253.6604881,82
Books,North,779.8612448,72
Books,West,20.01954147,38
Electronics,South,437.1328932,17
Electronics,North,247.7028053,47
Clothing,East,432.2914229,41
Books,North,501.9060932,35
Food,East,875.3046781,22
Food,North,365.1760244,36
Clothing,North,563.1733847,4
Electronics,South,814.111208,93
Books,East,489.9903733,94
Food,West,776.0227221,7
Clothing,South,553.2284,20
Electronics,North,294.6732474,75
Books,North,549.0661482,20
Books,East,281.1219917,33
Clothing,East,203.3329661,17
Clothing,South,451.8108437,19
Electronics,East,429.1061334,42
Electronics,West,600.0800311,11
Food,East,633.7518393,22
Food,South,329.3238798,48
Food,South,384.1421667,28
Clothing,West,5.947539797,65
Food,South,863.4685199,2
Food,West,307.3735735,1
Clothing,East,629.8206968,39
Books,East,991.414599,8
Electronics,East,49.07901004,57
Food,North,537.99592,80
Food,North,438.6537084,69
Food,North,415.110595,33
Electronics,North,773.5384524,43
Food,South,686.7816408,33
Electronics,East,849.6045213,71
Electronics,East,309.2620729,84
Food,South,208.4008686,49
Food,East,73.34452946,95
Electronics,South,351.4977817,96
Electronics,East,846.0452498,65
Electronics,East,652.2167392,13
Food,East,760.6924808,64
Books,South,230.0256115,35
Electronics,East,523.5460008,74
Clothing,South,716.9030649,12
Electronics,South,725.11938,61
Food,West,683.7053652,58
Books,West,106.8273357,25
Books,South,31.77518018,25
Books,South,368.9751529,95
Electronics,North,891.8187835,10
Food,North,329.5355849,71
Books,West,397.1990148,51
Books,South,209.8070482,7
Electronics,South,257.96926,93
Clothing,North,242.2820248,93
Clothing,West,199.3285929,93
Books,South,726.3424591,32
Electronics,East,848.439727,42
Electronics,West,913.9242009,23
Books,East,835.8756388,81
Electronics,West,695.9988875,95
Electronics,East,821.0192743,59
Electronics,East,474.476932,3
Electronics,South,353.7575046,76
Food,North,937.8790281,54
Clothing,North,983.27082,31
Books,West,893.9942621,52
Books,North,205.7288666,23
Electronics,South,685.4877569,52
Books,North,788.3981832,87
Books,East,630.1441031,29
Books,East,248.9604636,32
Books,North,487.5728411,98
Books,East,10.8059138,34
Books,North,860.7316448,8
Clothing,West,631.9033229,49
Books,West,192.4368297,34
Food,South,823.6881153,43
Clothing,West,37.90080975,75
Food,East,773.6313775,87
Clothing,South,87.76464034,24
Books,East,665.4729289,28
Food,North,15.06476977,45
Clothing,South,593.5974673,95
Books,East,589.3154857,38
Electronics,West,222.425397,35
Clothing,East,94.18292009,92
Electronics,South,516.3284003,22
Electronics,North,502.1766053,61
Electronics,East,251.7800268,71
Clothing,West,24.81226518,53
Clothing,West,516.8968762,72
Clothing,West,933.5334991,22
Food,East,831.8632183,67
Food,East,357.8389561,3
Clothing,East,932.8279017,73
Books,South,969.7648656,98
Food,West,138.9739024,21
Clothing,North,167.2088626,38
Electronics,South,634.4654324,25
Electronics,South,554.3482249,92
Food,North,344.6390132,58
Books,North,426.2316474,49
Food,North,645.8135768,56
Books,South,333.9634511,21
Electronics,South,344.6709415,45
Books,North,707.6117374,27
Books,East,877.8509573,42
Food,West,142.4656068,25
Electronics,North,260.2178386,91
Clothing,West,875.3401051,72
Food,West,248.2340801,85
Clothing,West,795.2326038,7
Food,North,713.5922038,88
Clothing,South,694.7272346,76
Clothing,North,747.5399844,56
Food,South,626.000366,80
Food,East,132.2975789,5
Clothing,South,526.3359848,32
Books,North,218.607154,21
Food,East,567.5160283,83
Clothing,North,573.3449789,83
Books,East,693.617761,63
Electronics,East,519.0714344,93
Books,South,349.7290785,39
Electronics,South,511.7864754,7
Clothing,South,439.9050575,6
Books,North,890.4493318,68
Clothing,North,297.2540945,9
Clothing,South,355.4916162,81
Books,East,393.7351443,11
Electronics,South,136.6075892,77
Books,East,173.4670382,61
Clothing,South,207.5284625,43
Food,South,768.3901644,7
Clothing,North,903.027269,51
Food,South,744.5551175,33
Electronics,North,804.3112672,83
Clothing,West,683.9211646,24
Books,East,495.794201,91
Clothing,North,243.9981761,72
Electronics,East,173.4803502,69
Electronics,East,446.0036052,28
Books,South,835.3098755,24
Food,West,447.2818959,43
Food,East,698.468875,44
Books,North,659.8451408,86
Electronics,West,855.8114323,48
Clothing,East,404.6877456,38
Clothing,East,74.65958041,65
Books,West,492.9306903,25
Electronics,West,485.5951476,23
Electronics,South,136.8967416,40
Food,North,307.4989063,69
Clothing,North,707.9420937,63
Books,West,588.4116377,83
Books,South,412.9942273,32
Food,South,428.2367354,27
Books,West,23.65434722,13
Books,South,712.243264,45
Electronics,North,988.3811557,88
Clothing,South,22.64515504,11
Electronics,East,490.7883301,60
Food,East,662.8666784,74
Clothing,East,533.1228748,87
Clothing,East,196.715833,90
Books,South,550.2959069,9
Books,East,41.49494427,4
Clothing,South,417.4496845,73
Electronics,North,303.850868,53
Electronics,South,765.8987175,27
Electronics,North,722.7812433,45
Clothing,West,361.5436364,21
Clothing,South,670.454251,45
Books,West,379.7820483,72
Clothing,South,946.8338606,79
Electronics,West,263.5303348,93
Clothing,North,13.57528248,18
Electronics,North,716.3493967,86
Food,South,71.32737089,1
Books,East,820.7509691,78
Clothing,North,387.8721728,78
Books,East,111.2592585,33
Electronics,South,192.5354768,49
Food,West,568.5706663,72
Books,South,635.1603974,73
Electronics,South,557.002723,52
Clothing,East,668.8829272,12
Books,North,7.927655687,23
Books,East,255.8176527,68
Electronics,East,54.83167439,66
Electronics,East,140.8587853,90
Clothing,East,802.798546,23
Electronics,South,391.9273546,93
Clothing,East,392.2334917,79
Food,West,659.5001927,36
Food,North,768.0998902,86
Food,North,583.1946142,26
Food,West,247.545923,84
Clothing,South,95.89399782,73
Food,South,900.795379,97
